ada
selain
selalu
seluruh
seluruhnya
semakin
sementara
sempat
semua
semuanya
sendiri
sendirinya
seolah
seolah-olah
seperti
sepertinya
sering
seringnya
serta
siapa
siapakah
siapapun
disini
disinilah
sini
sinilah
sesuatu
sesuatunya
sudah
sudahkah
sudahlah
supaya
tadi
tadinya
tak
tanpa
setelah
telah
tentang
tentu
tentulah
tentunya
tertentu
seterusnya
tapi
tetapi
setiap
tiap
setidak-tidaknya
setidaknya
tidak
tidakkah
tidaklah
toh
waduh
wah
wahai
sewaktu
walau
walaupun
wong
yaitu
yakni
yang
masa
termasuk
semata
semata-mata
diminta
dimintai
meminta
memintakan
minta
mirip
dimisalkan
memisalkan
misal
misalkan
misalnya
semisal
semisalnya
bermula
mula
mulanya
dimulai
dimulailah
dimulainya
memulai
mulai
mulailah
dimungkinkan
kemungkinan
kemungkinannya
memungkinkan
menaiki
naik
menanti
menanti-nanti
menantikan
menyatakan
nyatanya
ternyata
pak
panjang
dipastikan
memastikan
penting
pentingnya
diperlukan
diperlukannya
memerlukan
perlu
perlukah
perlunya
seperlunya
pertama
pertama-tama
memihak
pihak
pihaknya
sepihak
pukul
dipunyai
mempunyai
punya
merasa
rasa
rasanya
terasa
rata
berupa
disampaikan
kesampaian
menyampaikan
sampai-sampai
sampaikan
sesampai
tersampaikan
menyangkut
satu
disebut
disebutkan
sebutnya
keseluruhan
keseluruhannya
menyeluruh
sendirian
bersiap
bersiap-siap
mempersiapkan
menyiapkan
siap
dipersoalkan
mempersoalkan
persoalan
soal
soalnya
diketahui
diketahuinya
mengetahui
tahu
tahun
ditambahkan
menambahkan
tambah
tambahnya
tampak
tampaknya
ditandaskan
menandaskan
tandas
tandasnya
bertanya
bertanya-tanya
dipertanyakan
ditanya
ditanyai
ditanyakan
pertanyaan
pertanyakan
tanya
tanyakan
tanyanya
ditegaskan
menegaskan
tegas
tegasnya
setempat
tempat
setengah
tengah
tepat
terus
tetap
setiba
setibanya
tiba
tiba-tiba
tiga
setinggi
tinggi
ditujukan
menuju
tertuju
ditunjuk
ditunjuki
ditunjukkan
ditunjukkannya
ditunjuknya
menunjuk
menunjuki
menunjukkan
menunjuknya
tunjuk
berturut
berturut-turut
menurut
januari
februari
maret
turut
bertutur
dituturkan
dituturkannya
menuturkan
tutur
tuturnya
diucapkan
diucapkannya
mengucapkan
mengucapkannya
ucap
ucapnya
berujar
ujar
ujarnya
umum
umumnya
diungkapkan
mengungkapkan
ungkap
ungkapnya
untuk
usah
seusai
usai
april
mei
juni
juli
agustus
september
oktober
november
desember
senin
selasa
rabu
kamis
jumat
sabtu
minggu
yg
utk
dgn
duh
dr
dpt
terutama
waktu
waktunya
meyakini
meyakinkan
yakin
